Year,Continent,Gender,Total_Immigration
1990,Africa,Male,8279127
1990,Asia,Male,25757459
1990,Europe,Male,24119388
1990,Latin America and the Caribbean,Male,3592878
1990,Northern America,Male,13497226
1990,Oceania,Male,2415611
1990,Africa,Female,7410539
1990,Asia,Female,22452490
1990,Europe,Female,25488843
1990,Latin America and the Caribbean,Female,3568493
1990,Northern America,Female,14113182
1990,Oceania,Female,2316237
1995,Africa,Male,8619901
1995,Asia,Male,24869467
1995,Europe,Male,25913001
1995,Latin America and the Caribbean,Male,3346421
1995,Northern America,Male,16401865
1995,Oceania,Male,2535461
1995,Africa,Female,7737176
1995,Asia,Female,21548577
1995,Europe,Female,27576828
1995,Latin America and the Caribbean,Female,3342289
1995,Northern America,Female,16939083
1995,Oceania,Female,2486826
2000,Africa,Male,7996691
2000,Asia,Male,26592020
2000,Europe,Male,27501320
2000,Latin America and the Caribbean,Male,3278974
2000,Northern America,Male,19983823
2000,Oceania,Male,2676393
2000,Africa,Female,7054986
2000,Asia,Female,22802302
2000,Europe,Female,29357468
2000,Latin America and the Caribbean,Female,3291755
2000,Northern America,Female,20367871
2000,Oceania,Female,2684838
2005,Africa,Male,8666607
2005,Asia,Male,29295776
2005,Europe,Male,30775683
2005,Latin America and the Caribbean,Male,3590334
2005,Northern America,Male,22544640
2005,Oceania,Male,2987798
2005,Africa,Female,7303228
2005,Asia,Female,24143530
2005,Europe,Female,32819139
2005,Latin America and the Caribbean,Female,3634608
2005,Northern America,Female,22818617
2005,Oceania,Female,3035614
2010,Africa,Male,9542242
2010,Asia,Male,37818766
2010,Europe,Male,34110740
2010,Latin America and the Caribbean,Male,4106262
2010,Northern America,Male,24944560
2010,Oceania,Male,3539110
2010,Africa,Female,8261956
2010,Asia,Female,28119946
2010,Europe,Female,36567285
2010,Latin America and the Caribbean,Female,4156171
2010,Northern America,Female,26026301
2010,Oceania,Female,3588570
2015,Africa,Male,12505720
2015,Asia,Male,44702308
2015,Europe,Male,35934501
2015,Latin America and the Caribbean,Male,4721847
2015,Northern America,Male,26993701
2015,Oceania,Male,4005312
2015,Africa,Female,10970531
2015,Asia,Female,32529452
2015,Europe,Female,39073718
2015,Latin America and the Caribbean,Female,4719832
2015,Northern America,Female,28639742
2015,Oceania,Female,4064632
2019,Africa,Male,14060898
2019,Asia,Male,48858845
2019,Europe,Male,40007661
2019,Latin America and the Caribbean,Male,5847136
2019,Northern America,Male,28288272
2019,Oceania,Male,4425192
2019,Africa,Female,12468436
2019,Asia,Female,34700352
2019,Europe,Female,42296878
2019,Latin America and the Caribbean,Female,5826152
2019,Northern America,Female,30359550
2019,Oceania,Female,4502733
