Year,Country,1990M,1990F,1995M,1995F,2000M,2000F,2005M,2005F,2010M,2010F,2015M,2015F,2019M,2019F
1990,Burundi,163267,169843,124165,130688,61094,64534,84805,88069,115823,119436,142790,147020,158163,162855
1990,Comoros,6717,7362,6614,7325,6511,7288,6286,6923,6060,6558,6071,6484,6047,6457
1990,Djibouti,64242,57979,52476,47298,52920,47587,51315,40776,53295,48280,59081,53270,60654,54687
1990,Eritrea,6228,5620,6542,5858,6856,6096,7729,6585,8603,7073,8833,7108,8922,7179
1990,Ethiopia,607284,548106,424117,382787,322219,289165,269725,244517,298069,270679,591409,570233,637963,615120
1990,Kenya,161259,136830,322189,296556,352933,354919,400364,372990,473093,481832,562909,563977,522321,522533
1990,Madagascar,13348,10569,11901,9276,13276,10265,14744,11314,16410,12495,18270,13805,19897,15037
1990,Malawi,546520,581204,116198,125426,111530,121090,105931,115730,103869,113853,110893,121910,117932,129720
1990,Mauritius,1763,1850,3228,4265,5705,9838,8943,10704,13188,11648,15832,12753,15979,12870
1990,Mayotte,8780,6449,14679,11637,23546,21928,31364,31812,34500,38257,34235,39757,34537,40106
1990,Mozambique,66060,56272,91210,77046,103175,92527,127908,136771,148105,158366,155510,166284,161731,172934
1990,Réunion,30724,26486,40710,36449,52264,48414,59196,55880,62707,60322,64537,62672,65524,63629
1990,Rwanda,80763,79261,109783,105952,175741,171335,213279,209908,214048,212853,256327,258320,269917,270015
1990,Seychelles,2204,1517,3021,2127,3837,2737,5820,3177,7804,3616,8954,3837,9049,3877
1990,Somalia,244201,234093,10282,9245,10628,9469,11047,9623,25213,22893,21584,19406,27184,24947
1990,South Sudan,,,,,,,,,132693,125212,430949,413173,441677,423875
1990,Uganda,283337,260936,308281,298706,290859,293421,292130,301178,241903,251027,415845,435330,836620,897546
1990,United Republic of Tanzania,283390,290635,547089,558954,481816,467784,486983,284170,154591,155256,190617,193950,251424,257742
1990,Zambia,143029,136434,125329,119009,175114,168589,128628,124267,75941,74021,66651,65456,86098,84151
1990,Zimbabwe,356240,278381,246013,185213,233881,176228,229254,172972,227201,171106,225653,174829,233652,177605
1990,Angola,18142,15375,20755,19058,23367,22741,30240,31089,160275,171851,304635,327543,341719,327760
1990,Cameroon,145869,120098,133945,110846,124008,103234,146129,119374,161485,129989,251311,257035,250177,255515
1990,Central African Republic,35686,31548,52975,46737,65636,57893,50236,44213,49743,43723,43163,38435,48004,42645
1990,Chad,40133,34209,48298,41286,56463,48362,159715,192347,186773,230151,215640,251328,236334,275896
1990,Congo,64316,65075,95822,95813,153107,152773,173229,145495,231105,194068,213764,176378,220238,181904
1990,Democratic Republic of the Congo,363117,391077,901379,915584,365092,379295,302290,320579,284244,304706,401058,423434,463954,499879
1990,Equatorial Guinea,1465,1275,1930,1699,2394,2123,3564,3024,4734,3924,161527,48084,175403,52214
1990,Gabon,73172,55016,97800,73627,122986,91445,135107,98717,158680,112149,243782,134904,264758,146705
1990,Sao Tome and Principe,2953,2629,2548,2388,2212,2153,1727,1706,1352,1348,1197,1197,1085,1089
1990,Botswana,16614,10896,23517,16651,43840,31094,49132,35482,53881,40733,58769,44499,62943,47653
1990,Eswatini,39905,35086,18701,16456,17921,16163,17369,16023,16790,15847,16627,15725,16582,15728
1990,Lesotho,4318,3922,3827,3377,3335,2832,3402,2888,3469,2945,3558,3014,3751,3177
1990,Namibia,63748,56893,61310,54062,73154,62393,57625,49722,55803,48023,54739,46879,57938,49623
1990,South Africa,717227,446656,611083,392724,607602,409361,782272,568759,1221739,893062,2122100,1694595,2350362,1873894
1990,Benin,40418,36333,56304,49399,72190,62465,107882,114007,143575,165549,172056,194228,183593,206519
1990,Burkina Faso,167834,181818,223156,240948,250555,269808,285871,311787,320939,353499,335328,369348,341830,376508
1990,Cabo Verde,4429,4502,5091,4888,5753,5274,6523,6177,7293,7080,7547,7377,7922,7742
1990,Côte d'Ivoire,1011749,804677,1150710,925684,1198496,965148,1254690,1010400,1310459,1056078,1366634,1101350,1411575,1137566
1990,Gambia,66306,51817,82048,68842,97138,85376,96230,85675,98086,87677,101501,91039,113552,101854
1990,Ghana,83030,81821,127423,125456,97279,94322,156778,147658,179647,157370,221026,193718,249224,217556
1990,Guinea,201260,202361,386537,387968,279108,280967,111738,117873,92899,85099,74060,52326,70695,49947
1990,Guinea-Bissau,7689,7679,13833,14128,10155,10295,10298,10438,10307,10754,10826,11507,12990,13926
1990,Liberia,53924,41040,111647,96916,82129,69739,51183,36005,56885,42244,64879,48900,53857,40591
1990,Mali,82049,78687,90871,85316,97752,91723,132244,124553,172066,167309,213218,207286,237428,230802
1990,Mauritania,57569,54081,47015,42547,31163,26203,32588,25531,48605,36074,94070,72482,97766,75221
1990,Niger,55222,60242,69751,76248,58192,64068,59170,65291,60033,66431,119915,133083,139426,154735
1990,Nigeria,256166,200455,258091,204908,270211,217671,564384,404910,575671,413008,657887,541228,689321,567087
1990,Saint Helena,110,68,70,47,61,47,85,78,136,112,251,126,302,131
1990,Senegal,138840,131570,147165,140489,121492,110409,124854,113444,135879,120213,141402,125094,145996,129243
1990,Sierra Leone,122898,99250,55937,42579,54184,43790,76621,69429,43515,35540,33068,25745,30724,23608
1990,Togo,42903,41941,50727,50856,69112,68856,103055,100744,129352,126061,139540,137844,141286,137856
1990,Algeria,150234,123720,143696,118336,137158,112952,108266,89156,114727,102237,126522,112951,131596,117479
1990,Egypt,91995,81838,88545,78410,98224,86550,165211,119795,174104,135913,207433,146208,271048,233005
1990,Libya,242707,214368,300906,207135,368950,198486,445597,179615,489737,194261,549153,221993,582673,235543
1990,Morocco,29024,25871,26264,24096,27233,25801,27543,26836,35738,35171,46387,46037,49479,49095
1990,Sudan,696385,706511,525701,527695,404618,400468,278084,268335,314552,304157,311885,308638,607151,615941
1990,Tunisia,18900,19084,19045,18822,18679,18040,18000,17040,22236,20936,29253,27279,29744,27711
1990,Western Sahara,1465,1223,1651,1338,1837,1452,2224,1667,2612,1881,3059,2120,3181,2203
1990,Armenia,270535,388254,284995,409004,270170,387730,191401,277718,85669,125478,77436,113763,78001,112158
1990,Azerbaijan,157856,202744,149509,194561,141161,186379,135336,166884,129512,147389,126600,137641,121640,132247
1990,Bahrain,122730,50482,144227,61752,165344,74017,288614,115404,475905,181951,508966,195171,535728,205433
1990,Cyprus,20463,23342,27604,34337,34745,45331,50421,66744,83931,107935,84153,107867,85208,106714
1990,Georgia,133285,171185,66643,85592,33321,42796,31655,40656,31972,41062,33570,43115,34583,44452
1990,Iraq,55751,27887,114821,84639,120464,90061,80883,52032,72965,44424,209233,150148,214288,153774
1990,Israel,770777,861927,830330,961855,853712,997597,867805,1021698,890352,1060263,912899,1098828,887768,1068578
1990,Jordan,586473,559876,784725,752372,982977,944868,1183645,1141769,1384313,1338670,1567177,1544849,1685358,1661345
1990,Kuwait,654878,419513,591452,330502,761512,366128,918580,414747,1309814,561723,1901855,964281,2013803,1021042
1990,Lebanon,267922,255771,310613,297690,353305,339608,390331,366453,427358,393297,948425,1024779,895875,967998
1990,Oman,242477,61523,417444,122199,488389,135219,527842,138318,658746,157475,1552000,304226,1911526,374700
1990,Qatar,225932,83821,269972,91701,274242,85455,498428,147598,1206571,249842,1416361,271279,1845678,384010
1990,Saudi Arabia,3324873,1673572,3416485,1706217,3517768,1745619,4469805,2032014,5933281,2496675,7461502,3309864,9001182,4121156
1990,State of Palestine,132101,156231,128328,153439,124555,150647,119621,146996,114688,143344,113237,142270,112452,141283
1990,Syrian Arab Republic,364077,350063,423115,407495,427981,406935,450438,427870,913004,874557,445050,426124,444710,423138
1990,Turkey,577329,586357,593938,622235,616007,664956,618938,700298,625960,741074,2390166,1956031,3258212,2618617
1990,United Arab Emirates,931959,374615,1309868,514250,1757200,689810,2388299,892816,5463446,1853251,5890170,2104956,6326020,2261236
1990,Yemen,67010,51853,77832,58683,80514,64426,98879,72992,156123,132271,199390,180492,202414,183214
