Country,1990,1995,2000,2005,2010,2015,2019,Pop1990,Pop1995,Pop2000,Pop2005,Pop2010,Pop2015,Pop2019,PopCountry
Burundi,333110,254853,125628,172874,235259,289810,321018,5439,5987,6379,7365,8676,10160,11531,Burundi
Comoros,14079,13939,13799,13209,12618,12555,12504,412,475,542,612,690,777,851,Comoros
Djibouti,122221,99774,100507,92091,101575,112351,115341,590,630,718,783,840,914,974,Djibouti
Eritrea,11848,12400,12952,14314,15676,15941,16101,2259,2204,2292,2827,3170,3343,3497,Eritrea
Ethiopia,1155390,806904,611384,514242,568748,1161642,1253083,47888,57048,66225,76346,87640,100835,112079,Ethiopia
Kenya,298089,618745,707852,773354,954925,1126886,1044854,23725,27768,31965,36625,42031,47878,52574,Kenya
Madagascar,23917,21177,23541,26058,28905,32075,34934,11599,13475,15767,18337,21152,24234,26969,Madagascar
Malawi,1127724,241624,232620,221661,217722,232803,247652,9404,9844,11149,12626,14540,16745,18629,Malawi
Mauritius,3613,7493,15543,19647,24836,28585,28849,1056,1129,1185,1222,1248,1259,1270,Mauritius
Mayotte,15229,26316,45474,63176,72757,73992,74643,95,123,150,178,209,240,266,Mayotte
Mozambique,122332,168256,195702,264679,306471,321794,334665,12987,15483,17712,20494,23532,27042,30366,Mozambique
Réunion,57210,77159,100678,115076,123029,127209,129153,611,674,737,792,831,863,889,Réunion
Rwanda,160024,215735,347076,423187,426901,514647,539932,7289,5836,7934,8840,10039,11369,12627,Rwanda
Seychelles,3721,5148,6574,8997,11420,12791,12926,71,77,81,89,91,95,98,Seychelles
Somalia,478294,19527,20097,20670,48106,40990,52131,7225,7492,8872,10447,12044,13797,15443,Somalia
South Sudan,,,,,257905,844122,865552,5493,5118,6199,7536,9508,10716,11062,South Sudan
Uganda,544273,606987,584280,593308,492930,851175,1734166,17354,20413,23650,27685,32428,38225,44270,Uganda
Tanzania,574025,1106043,949600,771153,309847,384567,509166,25204,29649,33499,38450,44347,51483,58005,United Republic of Tanzania
Zambia,279463,244338,343703,252895,149962,132107,170249,8037,9097,10416,11856,13606,15879,17861,Zambia
Zimbabwe,634621,431226,410109,402226,398307,400482,411257,10432,11411,11881,12077,12698,13815,14645,Zimbabwe
Angola,33517,39813,46108,61329,332126,632178,669479,11848,13945,16395,19434,23356,27884,31825,Angola
Cameroon,265967,244791,227242,265503,291474,508346,505692,11780,13600,15514,17733,20341,23298,25876,Cameroon
Central African Republic,67234,99712,123529,94449,93466,81598,90649,2807,3223,3640,4038,4387,4493,4745,Central African Republic
Chad,74342,89584,104825,352062,416924,466968,512230,5963,7010,8356,10097,11952,14111,15947,Chad
"Congo, Rep.",129391,191635,305880,318724,425173,390142,402142,2357,2708,3127,3623,4274,4856,5381,Congo
"Congo, Dem. Rep.",754194,1816963,744387,622869,588950,824492,963833,34612,41576,47106,54786,64564,76245,86791,Democratic Republic of the Congo
Equatorial Guinea,2740,3629,4517,6588,8658,209611,227617,419,497,606,750,944,1169,1356,Equatorial Guinea
Gabon,128188,171427,214431,233824,270829,378686,411463,949,1085,1228,1391,1624,1948,2173,Gabon
Sao Tome and Principe,5582,4936,4365,3433,2700,2394,2174,119,132,142,157,180,199,215,Sao Tome and Principe
Botswana,27510,40168,74934,84614,94614,103268,110596,1287,1469,1643,1799,1987,2121,2304,Botswana
Eswatini,74991,35157,34084,33392,32637,32352,32310,822,927,1005,1031,1065,1104,1148,Eswatini
Lesotho,8240,7204,6167,6290,6414,6572,6928,1704,1899,2033,1996,1996,2059,2125,Lesotho
Namibia,120641,115372,135547,107347,103826,101618,107561,1433,1628,1795,1938,2119,2315,2495,Namibia
South Africa,1163883,1003807,1016963,1351031,2114801,3816695,4224256,36801,41436,44968,47881,51217,55386,58558,South Africa
Benin,76751,105703,134655,221889,309124,366284,390112,4978,5906,6866,7982,9199,10576,11801,Benin
Burkina Faso,349652,464104,520363,597658,674438,704676,718338,8811,10090,11608,13422,15605,18111,20321,Burkina Faso
Cabo Verde,8931,9979,11027,12700,14373,14924,15664,338,386,428,463,493,525,550,Cabo Verde
Côte d'Ivoire,1816426,2076394,2163644,2265090,2366537,2467984,2549141,11925,14200,16455,18355,20533,23226,25717,Côte d'Ivoire
Gambia,118123,150890,182514,181905,185763,192540,215406,956,1129,1318,1544,1793,2086,2348,Gambia
Ghana,164851,252879,191601,304436,337017,414744,466780,14773,17014,19279,21815,24780,27849,30418,Ghana
Guinea,403621,774505,560075,229611,177998,126386,120642,6352,7270,8241,9110,10192,11432,12771,Guinea
Guinea-Bissau,15368,27961,20450,20736,21061,22333,26916,975,1089,1201,1345,1523,1737,1921,Guinea-Bissau
Liberia,94964,208563,151868,87188,99129,113779,94448,2076,2045,2848,3218,3891,4472,4937,Liberia
Mali,160736,176187,189475,256797,339375,420504,468230,8450,9586,10946,12776,15049,17439,19658,Mali
Mauritania,111650,89562,57366,58119,84679,166552,172987,2034,2314,2630,3024,3494,4046,4526,Mauritania
Niger,115464,145999,122260,124461,126464,252998,294161,8027,9490,11332,13624,16464,20002,23311,Niger
Nigeria,456621,462999,487882,969294,988679,1199115,1256408,95212,107948,122284,138865,158503,181137,200964,Nigeria
Saint Helena,178,117,108,163,248,377,433,7,6,6,5,5,6,6,Saint Helena
Senegal,270410,287654,231901,238298,256092,266496,275239,7526,8690,9798,11090,12678,14578,16296,Senegal
Sierra Leone,222148,98516,97974,146050,79055,58813,54332,4320,4304,4585,5646,6416,7172,7813,Sierra Leone
Togo,84844,101583,137968,203799,255413,277384,279142,3774,4226,4924,5612,6422,7323,8082,Togo
Algeria,273954,262032,250110,197422,216964,239473,249075,25759,28758,31042,33150,35977,39728,43053,Algeria
"Egypt, Arab Rep.",173833,166955,184774,285006,310017,353641,504053,56134,62334,68832,75524,82761,92443,100388,Egypt
Libya,457075,508041,567436,625212,683998,771146,818216,4437,4949,5358,5799,6198,6418,6777,Libya
Morocco,54895,50360,53034,54379,70909,92424,98574,24807,26994,28794,30456,32343,34664,36472,Morocco
Sudan,1402896,1053396,805086,546419,618709,620523,1223092,20148,24095,27275,30950,34545,38903,42813,Sudan
Tunisia,37984,37867,36719,35040,43172,56532,57455,8243,9125,9708,10107,10635,11180,11695,Tunisia
Western Sahara,2688,2989,3289,3891,4493,5179,5384,217,256,314,438,480,526,582,Western Sahara
Armenia,658789,693999,657900,469119,211147,191199,190159,3538,3217,3070,2981,2877,2926,2958,Armenia
Azerbaijan,360600,344070,327540,302220,276901,264241,253887,7243,7775,8123,8539,9032,9623,10048,Azerbaijan
Bahrain,173212,205979,239361,404018,657856,704137,741161,496,564,665,889,1241,1372,1641,Bahrain
Cyprus,43805,61941,80076,117165,191866,192020,191922,767,855,943,1028,1113,1161,1199,Cyprus
Georgia,304470,152235,76117,72311,73034,76685,79035,5410,4976,4362,4210,4099,4024,3997,Georgia
Iraq,83638,199460,210525,132915,117389,359381,368062,17419,20149,23498,26922,29742,35572,39310,Iraq
Israel,1632704,1792185,1851309,1889503,1950615,2011727,1956346,4448,5271,5946,6529,7346,7978,8519,Israel
Jordan,1146349,1537097,1927845,2325414,2722983,3112026,3346703,3566,4589,5122,5766,7262,9267,10102,Jordan
Kuwait,1074391,921954,1127640,1333327,1871537,2866136,3034845,2095,1606,2045,2270,2992,3836,4207,Kuwait
Lebanon,523693,608303,692913,756784,820655,1973204,1863873,2803,3528,3843,4699,4953,6533,6856,Lebanon
Oman,304000,539643,623608,666160,816221,1856226,2286226,1812,2204,2268,2511,3041,4267,4975,Oman
Qatar,309753,361673,359697,646026,1456413,1687640,2229688,476,513,592,865,1856,2566,2832,Qatar
Saudi Arabia,4998445,5122702,5263387,6501819,8429956,10771366,13122338,16234,18639,20664,23816,27421,31718,34269,Saudi Arabia
State of Palestine,288332,281767,275202,266617,258032,255507,253735,2101,2619,3224,3578,4056,4529,4981,State of Palestine
Syrian Arab Republic,714140,830610,834916,878308,1787561,871174,867848,12446,14345,16411,18361,21363,17997,17070,Syrian Arab Republic
Turkey,1163686,1216173,1280963,1319236,1367034,4346197,5876829,53922,58486,63240,67903,72327,78529,83430,Turkey
United Arab Emirates,1306574,1824118,2447010,3281115,7316697,7995126,8587256,1828,2415,3134,4588,8550,9263,9771,United Arab Emirates
"Yemen, Rep.",118863,136515,144940,171871,288394,379882,385628,11710,14913,17409,20107,23155,26498,29162,Yemen
Kazakhstan,3619200,3251968,2874194,3103027,3334937,3546060,3705556,16384,15839,14923,15403,16252,17572,18551,Kazakhstan
Kyrgyz Republic,623083,518338,389824,309399,232065,204382,200260,4373,4566,4921,5075,5422,5959,6416,Kyrgyzstan
Tajikistan,428900,348347,299499,280466,279808,275101,274071,5284,5765,6216,6789,7527,8454,9321,Tajikistan
Turkmenistan,306500,273565,219067,213053,197979,196376,195127,3684,4208,4516,4755,5087,5565,5942,Turkmenistan
Uzbekistan,1653000,1512577,1406498,1329932,1220149,1170873,1168384,20398,22791,24770,26428,28516,30930,32982,Uzbekistan
Afghanistan,57686,71522,75917,87300,102246,489749,149762,12412,18111,20780,25654,29186,34414,38042,Afghanistan
Bangladesh,881617,934735,987853,1166700,1345546,1422805,2185613,103172,115170,127658,139036,147575,156256,163046,Bangladesh
Bhutan,23807,27972,32137,40279,48420,51106,53254,531,535,591,649,686,728,763,Bhutan
India,7594801,6952238,6411331,5923945,5439758,5240960,5154737,873278,963923,1056576,1147610,1234281,1310152,1366418,India
"Iran, Islamic Rep.",4291601,2937668,2803805,2568930,2761561,2726420,2682214,56366,61443,65623,69762,73763,78492,82914,Iran (Islamic Republic of)
Maldives,8689,18510,27092,45045,54659,64273,69249,223,254,279,320,366,455,531,Maldives
Nepal,429974,690225,717900,679457,578657,509471,490802,18905,21576,23941,25745,27013,27015,28609,Nepal
Pakistan,6208204,3669308,4181912,3171132,3941586,3506520,3257978,107648,123777,142344,160304,179425,199427,216565,Pakistan
Sri Lanka,41561,40841,40132,39526,38959,39706,40018,17326,18243,18778,19545,20262,20908,21324,Sri Lanka
China,376361,442198,508034,678947,849861,978046,1030871,1176884,1240921,1290551,1330776,1368811,1406848,1433784,China
"China, Hong Kong SAR",2218473,2443798,2669122,2721235,2779950,2838665,2942254,5728,6084,6606,6770,6966,7186,7436,"China, Hong Kong SAR"
"China, Macao SAR",205047,224929,240791,279308,318506,376066,399572,344,386,428,483,538,602,640,"China, Macao SAR"
"Korea, Dem. Rep.",34103,35143,36183,40097,44010,48458,49393,20293,21862,22929,23904,24549,25184,25666,Dem. People's Republic of Korea
Japan,1075317,1362371,1686444,2011555,2134151,2232189,2498891,124505,126365,127524,128326,128542,127985,126860,Japan
Mongolia,6718,7424,8206,11477,16062,19886,21128,2184,2298,2397,2526,2720,2998,3225,Mongolia
"Korea, Rep.",43247,123886,244224,486065,919987,1143087,1163655,42918,45293,47379,48701,49546,50823,51225,Republic of Korea
Brunei Darussalam,73200,84748,96296,98441,100587,102733,110641,259,297,333,365,389,415,433,Brunei Darussalam
Cambodia,38375,92230,146085,114031,81977,73963,78649,8976,10656,12155,13273,14312,15521,16487,Cambodia
Indonesia,465612,378960,292307,289568,305416,338124,353135,181413,196934,211514,226289,241834,258383,270626,Indonesia
Lao PDR,22866,23526,21948,20371,32955,45538,48275,4258,4846,5324,5752,6249,6741,7169,Lao People's Democratic Republic
Malaysia,695920,937368,1463598,1918504,2417395,3280681,3430380,18030,20488,23194,25691,28208,30271,31950,Malaysia
Myanmar,133545,113663,98011,83025,76414,73309,75998,41335,43902,46720,48950,50601,52681,54045,Myanmar
Philippines,154071,207345,318095,257468,208599,211862,218530,61895,69784,77992,86326,93967,102113,108117,Philippines
Singapore,727262,991492,1351691,1710594,2164794,2543638,2155653,3013,3526,4029,4266,5131,5592,5804,Singapore
Thailand,528693,809720,1257821,2163447,3224131,3486526,3635085,56558,59467,62953,65416,67195,68715,69626,Thailand
Timor-Leste,8954,9743,10602,11286,11540,8520,8417,738,844,884,995,1094,1196,1293,Timor-Leste
Vietnam,28118,51262,56754,51768,61756,72793,76104,67989,74910,79910,83833,87968,92677,96462,Viet Nam
Anguilla,2570,3317,4063,4684,5103,5470,5679,9,10,11,12,13,14,15,Anguilla
Antigua and Barbuda,12029,17550,23071,24741,26412,28083,29207,63,69,76,81,88,94,97,Antigua and Barbuda
Aruba,14444,22274,30104,32540,34327,36114,36532,62,80,91,100,102,104,106,Aruba
Bahamas,26855,31654,36454,45595,54736,59306,62962,256,280,298,325,355,374,389,Bahamas
Barbados,24024,26224,28424,30624,32825,34475,34807,261,266,272,276,282,285,287,Barbados
British Virgin Islands,8035,10046,12958,15016,17074,19132,20778,13,15,14,14,21,25,26,"Bonaire, Sint Eustatius and Saba"
"Bonaire, Sint Eustatius and Saba",38410,42258,46105,49105,11445,13002,15484,17,19,20,23,28,29,30,British Virgin Islands
Cayman Islands,9315,12666,19176,20679,24057,26177,28985,25,32,42,49,57,62,65,Cayman Islands
Cuba,34555,26187,17818,11935,6640,5312,4886,10597,10888,11126,11262,11226,11325,11333,Cuba
Curaçao,,,,,34627,37611,40883,147,144,132,130,149,160,163,Curaçao
Dominica,2519,3121,3723,4744,8110,8093,8264,70,71,70,71,71,71,72,Dominica
Dominican Republic,291151,323381,355611,376001,393720,549289,567648,7133,7819,8471,9097,9695,10282,10739,Dominican Republic
Grenada,4263,5544,6825,6902,6980,7057,7124,96,100,103,105,106,110,112,Grenada
Guadeloupe,65944,74566,83188,89065,94942,98507,100030,389,404,422,403,406,400,400,Guadeloupe
Haiti,19084,18129,17222,16360,17178,18036,18756,7038,7745,8464,9195,9949,10696,11263,Haiti
Jamaica,20475,22713,24952,24314,23677,23167,23468,2420,2534,2655,2740,2810,2891,2948,Jamaica
Martinique,38705,46599,54492,57034,59575,61731,61647,358,369,387,397,395,378,376,Martinique
Montserrat,2013,1612,1211,1244,1291,1351,1375,11,10,5,5,5,5,5,Montserrat
Puerto Rico,321909,338067,355038,352144,304969,280494,266828,3403,3568,3669,3632,3580,3382,2933,Puerto Rico
Saint Kitts and Nevis,3210,4248,5871,6682,7245,7443,7587,40,42,44,47,49,51,53,Saint Kitts and Nevis
Saint Lucia,5305,7155,9871,9842,9051,8673,8383,138,147,157,163,174,179,183,Saint Lucia
Saint Vincent and the Grenadines,3970,4135,4307,4436,4569,4637,4692,107,108,108,109,108,109,111,Saint Vincent and the Grenadines
Sint Maarten (Dutch part),,,,13100,26200,27295,28260,29,31,33,33,34,40,42,Sint Maarten (Dutch part)
Trinidad and Tobago,50666,45994,41753,44812,48226,50021,59249,1221,1254,1267,1296,1328,1370,1395,Trinidad and Tobago
